DATE,AHEMAN
1963-02-01,2.31
1963-03-01,2.32
1963-04-01,2.33
1963-05-01,2.33
1963-06-01,2.34
1963-07-01,2.34
1963-08-01,2.31
1963-09-01,2.35
1963-10-01,2.35
1963-11-01,2.37
1963-12-01,2.39
1964-01-01,2.39
1964-02-01,2.38
1964-03-01,2.38
1964-04-01,2.40
1964-05-01,2.40
1964-06-01,2.41
1964-07-01,2.40
1964-08-01,2.40
1964-09-01,2.44
1964-10-01,2.39
1964-11-01,2.43
1964-12-01,2.45
1965-01-01,2.46
1965-02-01,2.46
1965-03-01,2.48
1965-04-01,2.47
1965-05-01,2.49
1965-06-01,2.49
1965-07-01,2.48
1965-08-01,2.47
1965-09-01,2.51
1965-10-01,2.52
1965-11-01,2.53
1965-12-01,2.54
1966-01-01,2.55
1966-02-01,2.56
1966-03-01,2.56
1966-04-01,2.58
1966-05-01,2.59
1966-06-01,2.58
1966-07-01,2.59
1966-08-01,2.58
1966-09-01,2.62
1966-10-01,2.64
1966-11-01,2.65
1966-12-01,2.66
1967-01-01,2.66
1967-02-01,2.67
1967-03-01,2.67
1967-04-01,2.68
1967-05-01,2.69
1967-06-01,2.70
1967-07-01,2.70
1967-08-01,2.70
1967-09-01,2.73
1967-10-01,2.73
1967-11-01,2.75
1967-12-01,2.79
1968-01-01,2.83
1968-02-01,2.82
1968-03-01,2.84
1968-04-01,2.85
1968-05-01,2.88
1968-06-01,2.88
1968-07-01,2.88
1968-08-01,2.87
1968-09-01,2.92
1968-10-01,2.94
1968-11-01,2.96
1968-12-01,2.99
1969-01-01,3.00
1969-02-01,3.00
1969-03-01,3.01
1969-04-01,3.03
1969-05-01,3.04
1969-06-01,3.05
1969-07-01,3.07
1969-08-01,3.08
1969-09-01,3.12
1969-10-01,3.13
1969-11-01,3.14
1969-12-01,3.17
1970-01-01,3.17
1970-02-01,3.17
1970-03-01,3.19
1970-04-01,3.20
1970-05-01,3.22
1970-06-01,3.23
1970-07-01,3.25
1970-08-01,3.24
1970-09-01,3.30
1970-10-01,3.25
1970-11-01,3.26
1970-12-01,3.35
1971-01-01,3.38
1971-02-01,3.39
1971-03-01,3.39
1971-04-01,3.42
1971-05-01,3.43
1971-06-01,3.45
1971-07-01,3.45
1971-08-01,3.45
1971-09-01,3.49
1971-10-01,3.49
1971-11-01,3.49
1971-12-01,3.58
1972-01-01,3.60
1972-02-01,3.61
1972-03-01,3.63
1972-04-01,3.66
1972-05-01,3.67
1972-06-01,3.68
1972-07-01,3.68
1972-08-01,3.70
1972-09-01,3.76
1972-10-01,3.77
1972-11-01,3.79
1972-12-01,3.86
1973-01-01,3.88
