"Index","dif1_earning_detr","dif1_gnp_detr","dif1_unemp"
"1948-01-01",NA,NA,NA
"1948-04-01",0.0144287857096211,-0.00476733076061207,0.0666666666666598
"1948-07-01",0.014926353364148,-0.00935345962363176,-0.0333333333333301
"1948-10-01",0.00185235030364087,-0.0245039844141294,0.16666666666667
"1949-01-01",-0.00140833523751253,-0.0139913050494118,0.66666666666666
"1949-04-01",-0.00144189259279614,-0.00036406726423857,1.13333333333334
"1949-07-01",-0.0141661795189049,-0.0192834526368271,0.86666666666666
"1949-10-01",0.0166489691319497,0.0283170894713765,0.23333333333334
"1950-01-01",0.0113278933707931,0.019849888797089,-0.6
"1950-04-01",-0.00709332403286082,0.0283445122861561,-0.7
"1950-07-01",0.0125731790204109,0.00852923297440592,-0.86666666666667
"1950-10-01",-0.0148844605488265,0.00287833400058848,-0.43333333333333
"1951-01-01",0.00844681748725394,0.00777750011632907,-0.6
"1951-04-01",0.0049624560552283,0.0102907607565126,-0.36666666666667
"1951-07-01",-0.00136678958110318,-0.00767109636570485,0.0333333333333301
"1951-10-01",0.00584302181798591,-3.76026799067247e-05,0.2
"1952-01-01",0.00184149013502304,-0.00801459066272172,-0.33333333333333
"1952-04-01",-0.00592961336441946,-0.00313592673154986,-0.1
"1952-07-01",0.0216122825554345,0.0218529117541376,0.23333333333333
"1952-10-01",0.0129294744467061,0.00808303970283437,-0.4
"1953-01-01",0.00465310320685864,-0.00210762178296581,-0.0333333333333301
"1953-04-01",0.00238087611095677,-0.0163492154237,-0.1
"1953-07-01",-0.00349400247979816,-0.0252271857656874,0.1
"1953-10-01",-0.00882427228159375,-0.0143874816024471,0.9
"1954-01-01",0.00146031410616927,-0.0089827095671151,1.4
"1954-04-01",-0.00891177545848288,0.00122600599060319,0.63333333333333
"1954-07-01",0.00167009764438934,0.0100013448124199,0.13333333333334
"1954-10-01",0.00355196006448897,0.0181420688017869,-0.53333333333334
"1955-01-01",0.00395458344310708,0.00597436863348585,-0.63333333333333
"1955-04-01",0.00851177188703507,0.00346008944721906,-0.33333333333333
"1955-07-01",-0.00585305794068814,-0.00383042566432495,-0.3
"1955-10-01",-0.00787963063716686,-0.0130631449390563,0.0666666666666598
"1956-01-01",0.0089171575652188,-0.00177843650919336,-0.16666666666666
"1956-04-01",-0.00692885932523111,-0.0105897943502229,0.13333333333333
"1956-07-01",0.0138030532932753,0.00552753187020851,-0.0333333333333301
"1956-10-01",-0.00844545574395484,-0.00239734758832165,-0.0333333333333399
"1957-01-01",-0.00883403966374937,-0.0114409122409763,-0.16666666666666
"1957-04-01",0.000863638912530578,-0.00042996034321075,0.1
"1957-07-01",0.00252803453583418,-0.0215969463194165,0.13333333333333
"1957-10-01",-0.0176602646851598,-0.0357344623397655,0.73333333333333
"1958-01-01",0.000352537670786682,-0.00311305709574265,1.3
"1958-04-01",0.00218193861755637,0.0128195890728855,1.06666666666667
"1958-07-01",0.00335495398125104,0.0132349799701157,-0.16666666666667
"1958-10-01",0.00724156873884864,0.00921615288384119,-0.9
"1959-01-01",0.00779294767298383,0.0125392207661053,-0.46666666666666
"1959-04-01",-0.0105437720555359,-0.0085005505803136,-0.8
"1959-07-01",-0.0073619670525353,-0.00641336742273533,0.133333333333329
"1959-10-01",0.0161734090460602,0.0122636011736873,0.33333333333333
"1960-01-01",-0.00593631518457404,-0.0148092492768188,-0.43333333333333
"1960-04-01",-0.00376438456444733,-0.00443738774263082,0.06666666666667
"1960-07-01",-0.00481391793679965,-0.0220045667204259,0.33333333333333
"1960-10-01",-0.00555419682227495,-0.00243813079618685,0.633333333333329
"1961-01-01",0.0065455082312765,0.00686138862924497,0.46666666666667
"1961-04-01",0.00157610154302924,0.00956195794485099,0.33333333333333
"1961-07-01",0.00248570135288467,0.00998600118885278,-0.4
"1961-10-01",0.000402317770075141,0.0080814981792519,-0.5
"1962-01-01",-0.00351827086079079,0.000152114065712725,-0.6
"1962-04-01",-0.00103708956349917,0.00279696378859053,-0.0333333333333306
"1962-07-01",-0.00104168168478479,-0.00506790285131308,0.100000000000001
"1962-10-01",-0.000378852247659162,0.00103466651339446,-0.06666666666667
"1963-01-01",0.00215361514667765,0.00145574925998636,0.13333333333334
"1963-04-01",0.00251594279995351,0.0124045479620383,-0.166666666666671
"1963-07-01",-0.00431348267711155,-0.00258154876740183,-0.2
"1963-10-01",-0.0035449298980853,0.0120786428822064,0.100000000000001
"1964-01-01",0.00283993374698304,0.00117682644816092,-0.06666666666667
"1964-04-01",-0.000317195895043884,0.0063700312680563,-0.33333333333333
"1964-07-01",-0.0104527285595952,-0.00669988562947306,-0.13333333333333
"1964-10-01",0.00679588477652555,0.0154816391691125,-0.0999999999999996
"1965-01-01",0.000344573517686021,0.00352485635654512,-0.13333333333334
"1965-04-01",-0.00168628575737191,0.0121038104688586,-0.16666666666666
"1965-07-01",-0.00200874813373655,0.0128264845582584,-0.3
"1965-10-01",0.000924568122272728,0.0149876197963618,-0.2
"1966-01-01",-0.00214538181636053,-0.00570730092491691,-0.23333333333334
"1966-04-01",-0.00118907916132993,-0.000856782272982939,-0.1
"1966-07-01",-0.00130642955889433,-0.000664109796367142,-0.0333333333333301
"1966-10-01",-0.000952501517507611,-0.000370902530120331,-0.0333333333333301
"1967-01-01",-0.000635848391471664,-0.00860380238419306,0.2
"1967-04-01",-0.000271728134980601,0.000996177424335046,-0.06666666666667
"1967-07-01",-0.0043836146016737,-0.00172810599449099,-0.06666666666667
"1967-10-01",0.00980945426381911,0.0112521171863798,0.1
