DATE,CES3000000008
1957-07-01,1.93
1957-08-01,1.94
1957-09-01,1.95
1957-10-01,1.96
1957-11-01,1.96
1957-12-01,1.95
1958-01-01,1.95
1958-02-01,1.95
1958-03-01,1.96
1958-04-01,1.96
1958-05-01,1.97
1958-06-01,1.98
1958-07-01,1.98
1958-08-01,2.01
1958-09-01,2.00
1958-10-01,2.00
1958-11-01,2.03
1958-12-01,2.04
1959-01-01,2.04
1959-02-01,2.05
1959-03-01,2.07
1959-04-01,2.08
1959-05-01,2.08
1959-06-01,2.09
1959-07-01,2.09
1959-08-01,2.07
1959-09-01,2.08
1959-10-01,2.07
1959-11-01,2.07
1959-12-01,2.11
1960-01-01,2.13
1960-02-01,2.14
1960-03-01,2.14
1960-04-01,2.14
1960-05-01,2.14
1960-06-01,2.14
1960-07-01,2.14
1960-08-01,2.15
1960-09-01,2.16
1960-10-01,2.16
1960-11-01,2.15
1960-12-01,2.16
1961-01-01,2.16
1961-02-01,2.16
1961-03-01,2.16
1961-04-01,2.18
1961-05-01,2.19
1961-06-01,2.20
1961-07-01,2.21
1961-08-01,2.22
1961-09-01,2.20
1961-10-01,2.23
1961-11-01,2.23
1961-12-01,2.24
1962-01-01,2.25
1962-02-01,2.26
1962-03-01,2.26
1962-04-01,2.26
1962-05-01,2.27
1962-06-01,2.26
1962-07-01,2.27
1962-08-01,2.28
1962-09-01,2.28
1962-10-01,2.29
1962-11-01,2.29
1962-12-01,2.29
1963-01-01,2.30
1963-02-01,2.31
1963-03-01,2.32
1963-04-01,2.32
1963-05-01,2.33
1963-06-01,2.34
1963-07-01,2.35
1963-08-01,2.34
1963-09-01,2.36
1963-10-01,2.36
1963-11-01,2.37
1963-12-01,2.38
1964-01-01,2.38
1964-02-01,2.38
1964-03-01,2.38
1964-04-01,2.40
1964-05-01,2.40
1964-06-01,2.41
1964-07-01,2.41
1964-08-01,2.42
1964-09-01,2.44
1964-10-01,2.40
1964-11-01,2.42
1964-12-01,2.44
1965-01-01,2.45
1965-02-01,2.46
1965-03-01,2.47
1965-04-01,2.47
1965-05-01,2.49
1965-06-01,2.49
1965-07-01,2.49
1965-08-01,2.50
1965-09-01,2.51
1965-10-01,2.52
1965-11-01,2.52
1965-12-01,2.53
1966-01-01,2.54
1966-02-01,2.56
1966-03-01,2.56
1966-04-01,2.58
1966-05-01,2.58
1966-06-01,2.58
1966-07-01,2.60
1966-08-01,2.61
1966-09-01,2.63
1966-10-01,2.64
1966-11-01,2.65
1966-12-01,2.64
1967-01-01,2.65
1967-02-01,2.67
1967-03-01,2.67
1967-04-01,2.68
1967-05-01,2.69
1967-06-01,2.69
1967-07-01,2.71
1967-08-01,2.73
1967-09-01,2.73
1967-10-01,2.74
1967-11-01,2.75
1967-12-01,2.77
1968-01-01,2.81
1968-02-01,2.82
1968-03-01,2.84
1968-04-01,2.85
1968-05-01,2.87
1968-06-01,2.88
1968-07-01,2.89
1968-08-01,2.89
1968-09-01,2.92
1968-10-01,2.94
1968-11-01,2.96
1968-12-01,2.97
1969-01-01,2.99
1969-02-01,3.00
1969-03-01,3.01
1969-04-01,3.03
1969-05-01,3.04
1969-06-01,3.05
1969-07-01,3.08
1969-08-01,3.10
1969-09-01,3.12
1969-10-01,3.13
1969-11-01,3.14
1969-12-01,3.15
1970-01-01,3.16
1970-02-01,3.17
1970-03-01,3.19
1970-04-01,3.19
1970-05-01,3.22
1970-06-01,3.24
1970-07-01,3.25
1970-08-01,3.26
1970-09-01,3.29
1970-10-01,3.26
1970-11-01,3.26
1970-12-01,3.32
1971-01-01,3.36
1971-02-01,3.39
1971-03-01,3.39
1971-04-01,3.41
1971-05-01,3.43
1971-06-01,3.45
1971-07-01,3.46
1971-08-01,3.48
1971-09-01,3.48
1971-10-01,3.50
1971-11-01,3.49
1971-12-01,3.55
1972-01-01,3.57
1972-02-01,3.61
1972-03-01,3.63
1972-04-01,3.65
1972-05-01,3.67
1972-06-01,3.68
1972-07-01,3.69
1972-08-01,3.73
1972-09-01,3.75
1972-10-01,3.78
1972-11-01,3.79
1972-12-01,3.83
1973-01-01,3.86
1973-02-01,3.87
1973-03-01,3.88
1973-04-01,3.91
1973-05-01,3.93
1973-06-01,3.95
1973-07-01,3.98
1973-08-01,4.00
1973-09-01,4.03
1973-10-01,4.05
1973-11-01,4.07
1973-12-01,4.09
1974-01-01,4.10
1974-02-01,4.13
1974-03-01,4.15
1974-04-01,4.16
1974-05-01,4.25
1974-06-01,4.30
1974-07-01,4.33
1974-08-01,4.38
1974-09-01,4.42
1974-10-01,4.48
1974-11-01,4.49
1974-12-01,4.52
1975-01-01,4.54
1975-02-01,4.58
1975-03-01,4.63
1975-04-01,4.63
1975-05-01,4.65
1975-06-01,4.68
1975-07-01,4.71
1975-08-01,4.75
1975-09-01,4.78
1975-10-01,4.80
1975-11-01,4.83
1975-12-01,4.86
1976-01-01,4.90
1976-02-01,4.94
1976-03-01,4.98
1976-04-01,4.98
1976-05-01,5.04
1976-06-01,5.07
1976-07-01,5.11
1976-08-01,5.16
1976-09-01,5.20
1976-10-01,5.19
1976-11-01,5.25
1976-12-01,5.29
1977-01-01,5.35
1977-02-01,5.36
1977-03-01,5.40
1977-04-01,5.45
1977-05-01,5.49
1977-06-01,5.54
1977-07-01,5.58
1977-08-01,5.61
1977-09-01,5.65
1977-10-01,5.69
1977-11-01,5.72
1977-12-01,5.75
1978-01-01,5.83
1978-02-01,5.86
1978-03-01,5.88
1978-04-01,5.93
1978-05-01,5.96
1978-06-01,6.01
1978-07-01,6.06
1978-08-01,6.09
1978-09-01,6.15
1978-10-01,6.20
1978-11-01,6.26
1978-12-01,6.31
1979-01-01,6.36
1979-02-01,6.40
1979-03-01,6.45
1979-04-01,6.43
1979-05-01,6.52
1979-06-01,6.56
1979-07-01,6.59
1979-08-01,6.63
1979-09-01,6.67
1979-10-01,6.71
1979-11-01,6.74
1979-12-01,6.80
1980-01-01,6.82
1980-02-01,6.88
1980-03-01,6.95
1980-04-01,6.97
1980-05-01,7.02
1980-06-01,7.10
1980-07-01,7.16
1980-08-01,7.24
1980-09-01,7.30
1980-10-01,7.38
1980-11-01,7.47
1980-12-01,7.52
1981-01-01,7.58
1981-02-01,7.62
1981-03-01,7.68
1981-04-01,7.76
1981-05-01,7.81
1981-06-01,7.85
1981-07-01,7.89
1981-08-01,7.97
1981-09-01,8.03
1981-10-01,8.06
1981-11-01,8.08
1981-12-01,8.09
1982-01-01,8.26
1982-02-01,8.21
1982-03-01,8.24
1982-04-01,8.28
1982-05-01,8.33
1982-06-01,8.37
1982-07-01,8.40
1982-08-01,8.43
1982-09-01,8.45
1982-10-01,8.44
1982-11-01,8.46
1982-12-01,8.49
1983-01-01,8.52
1983-02-01,8.59
1983-03-01,8.59
1983-04-01,8.61
1983-05-01,8.64
1983-06-01,8.66
1983-07-01,8.71
1983-08-01,8.71
1983-09-01,8.76
1983-10-01,8.80
1983-11-01,8.84
1983-12-01,8.87
1984-01-01,8.91
1984-02-01,8.92
1984-03-01,8.96
1984-04-01,8.98
1984-05-01,8.99
1984-06-01,9.03
1984-07-01,9.05
1984-08-01,9.09
1984-09-01,9.12
1984-10-01,9.15
1984-11-01,9.19
1984-12-01,9.22
1985-01-01,9.27
1985-02-01,9.29
1985-03-01,9.32
1985-04-01,9.35
1985-05-01,9.37
1985-06-01,9.39
1985-07-01,9.42
1985-08-01,9.43
1985-09-01,9.44
1985-10-01,9.46
1985-11-01,9.49
1985-12-01,9.55
1986-01-01,9.53
1986-02-01,9.56
1986-03-01,9.58
1986-04-01,9.56
1986-05-01,9.59
1986-06-01,9.58
1986-07-01,9.60
1986-08-01,9.61
1986-09-01,9.60
1986-10-01,9.62
1986-11-01,9.64
1986-12-01,9.66
1987-01-01,9.67
1987-02-01,9.69
1987-03-01,9.71
1987-04-01,9.71
1987-05-01,9.73
1987-06-01,9.74
1987-07-01,9.74
1987-08-01,9.80
1987-09-01,9.85
1987-10-01,9.84
1987-11-01,9.87
1987-12-01,9.89
1988-01-01,9.91
1988-02-01,9.92
1988-03-01,9.94
1988-04-01,9.99
1988-05-01,10.02
1988-06-01,10.04
1988-07-01,10.05
1988-08-01,10.07
1988-09-01,10.12
1988-10-01,10.16
1988-11-01,10.19
1988-12-01,10.20
1989-01-01,10.23
1989-02-01,10.26
1989-03-01,10.29
1989-04-01,10.28
1989-05-01,10.30
1989-06-01,10.33
1989-07-01,10.36
1989-08-01,10.39
1989-09-01,10.41
1989-10-01,10.43
1989-11-01,10.44
1989-12-01,10.49
1990-01-01,10.52
1990-02-01,10.64
1990-03-01,10.70
1990-04-01,10.68
1990-05-01,10.74
1990-06-01,10.78
1990-07-01,10.81
1990-08-01,10.80
1990-09-01,10.86
1990-10-01,10.92
1990-11-01,10.88
1990-12-01,10.93
1991-01-01,10.97
1991-02-01,10.97
1991-03-01,11.00
1991-04-01,11.05
1991-05-01,11.09
1991-06-01,11.13
1991-07-01,11.18
1991-08-01,11.18
1991-09-01,11.21
1991-10-01,11.25
1991-11-01,11.26
1991-12-01,11.27
1992-01-01,11.24
1992-02-01,11.30
1992-03-01,11.32
1992-04-01,11.36
1992-05-01,11.39
1992-06-01,11.41
1992-07-01,11.43
1992-08-01,11.46
1992-09-01,11.45
1992-10-01,11.47
1992-11-01,11.49
1992-12-01,11.51
1993-01-01,11.55
1993-02-01,11.57
1993-03-01,11.58
1993-04-01,11.63
1993-05-01,11.65
1993-06-01,11.68
1993-07-01,11.69
1993-08-01,11.72
1993-09-01,11.76
1993-10-01,11.79
1993-11-01,11.83
1993-12-01,11.88
1994-01-01,11.90
1994-02-01,11.97
1994-03-01,11.95
1994-04-01,11.96
1994-05-01,11.98
1994-06-01,12.00
1994-07-01,12.03
1994-08-01,12.06
1994-09-01,12.09
1994-10-01,12.12
1994-11-01,12.15
1994-12-01,12.17
1995-01-01,12.20
1995-02-01,12.24
1995-03-01,12.24
1995-04-01,12.25
1995-05-01,12.28
1995-06-01,12.31
1995-07-01,12.39
1995-08-01,12.39
1995-09-01,12.41
1995-10-01,12.44
1995-11-01,12.45
1995-12-01,12.49
1996-01-01,12.60
1996-02-01,12.56
1996-03-01,12.50
1996-04-01,12.69
1996-05-01,12.71
1996-06-01,12.76
1996-07-01,12.80
1996-08-01,12.82
1996-09-01,12.85
1996-10-01,12.83
1996-11-01,12.88
1996-12-01,12.95
1997-01-01,12.99
1997-02-01,12.99
1997-03-01,13.04
1997-04-01,13.03
1997-05-01,13.07
1997-06-01,13.09
1997-07-01,13.10
1997-08-01,13.17
1997-09-01,13.18
1997-10-01,13.29
1997-11-01,13.33
1997-12-01,13.35
1998-01-01,13.34
1998-02-01,13.39
1998-03-01,13.43
1998-04-01,13.40
1998-05-01,13.45
1998-06-01,13.43
1998-07-01,13.34
1998-08-01,13.46
1998-09-01,13.52
1998-10-01,13.52
1998-11-01,13.55
1998-12-01,13.56
1999-01-01,13.59
1999-02-01,13.63
1999-03-01,13.69
1999-04-01,13.73
1999-05-01,13.80
1999-06-01,13.86
1999-07-01,13.91
1999-08-01,13.93
1999-09-01,13.99
1999-10-01,13.99
1999-11-01,14.01
1999-12-01,14.06
2000-01-01,14.13
2000-02-01,14.14
2000-03-01,14.17
2000-04-01,14.23
2000-05-01,14.23
2000-06-01,14.30
2000-07-01,14.33
2000-08-01,14.36
2000-09-01,14.40
2000-10-01,14.48
2000-11-01,14.52
2000-12-01,14.50
2001-01-01,14.48
2001-02-01,14.55
2001-03-01,14.58
2001-04-01,14.63
2001-05-01,14.69
2001-06-01,14.74
2001-07-01,14.82
2001-08-01,14.85
2001-09-01,14.89
2001-10-01,14.89
2001-11-01,14.96
2001-12-01,15.01
2002-01-01,15.05
2002-02-01,15.12
2002-03-01,15.15
2002-04-01,15.17
2002-05-01,15.24
2002-06-01,15.27
2002-07-01,15.30
2002-08-01,15.34
2002-09-01,15.37
2002-10-01,15.45
2002-11-01,15.48
2002-12-01,15.53
2003-01-01,15.58
2003-02-01,15.63
2003-03-01,15.64
2003-04-01,15.63
2003-05-01,15.69
2003-06-01,15.72
2003-07-01,15.76
2003-08-01,15.78
2003-09-01,15.83
2003-10-01,15.83
2003-11-01,15.90
2003-12-01,15.92
2004-01-01,15.95
2004-02-01,15.98
2004-03-01,16.01
2004-04-01,16.05
2004-05-01,16.07
2004-06-01,16.11
2004-07-01,16.12
2004-08-01,16.20
2004-09-01,16.29
2004-10-01,16.27
2004-11-01,16.31
2004-12-01,16.34
2005-01-01,16.38
2005-02-01,16.44
2005-03-01,16.44
2005-04-01,16.46
2005-05-01,16.53
2005-06-01,16.54
2005-07-01,16.57
2005-08-01,16.63
2005-09-01,16.59
2005-10-01,16.69
2005-11-01,16.68
2005-12-01,16.68
2006-01-01,16.70
2006-02-01,16.70
2006-03-01,16.72
2006-04-01,16.75
2006-05-01,16.77
2006-06-01,16.78
2006-07-01,16.78
2006-08-01,16.83
2006-09-01,16.83
2006-10-01,16.91
2006-11-01,16.92
2006-12-01,16.99
2007-01-01,17.01
2007-02-01,17.05
2007-03-01,17.10
2007-04-01,17.20
2007-05-01,17.23
2007-06-01,17.29
2007-07-01,17.29
2007-08-01,17.35
2007-09-01,17.37
2007-10-01,17.36
2007-11-01,17.44
2007-12-01,17.44
2008-01-01,17.50
2008-02-01,17.57
2008-03-01,17.63
2008-04-01,17.63
2008-05-01,17.69
2008-06-01,17.75
2008-07-01,17.80
2008-08-01,17.80
2008-09-01,17.83
2008-10-01,17.90
2008-11-01,17.95
2008-12-01,18.00
2009-01-01,18.01
2009-02-01,18.09
2009-03-01,18.13
2009-04-01,18.16
2009-05-01,18.13
2009-06-01,18.17
2009-07-01,18.29
2009-08-01,18.32
2009-09-01,18.42
2009-10-01,18.38
2009-11-01,18.42
2009-12-01,18.42
2010-01-01,18.43
2010-02-01,18.47
2010-03-01,18.47
2010-04-01,18.51
2010-05-01,18.58
2010-06-01,18.57
2010-07-01,18.63
2010-08-01,18.65
2010-09-01,18.71
2010-10-01,18.73
2010-11-01,18.76
2010-12-01,18.80
2011-01-01,18.89
2011-02-01,18.91
2011-03-01,18.90
2011-04-01,18.91
2011-05-01,18.92
2011-06-01,18.90
2011-07-01,18.93
2011-08-01,18.90
2011-09-01,18.91
2011-10-01,18.98
2011-11-01,18.96
2011-12-01,19.00
2012-01-01,19.02
2012-02-01,19.00
2012-03-01,19.02
2012-04-01,19.09
2012-05-01,19.04
2012-06-01,19.08
2012-07-01,19.11
2012-08-01,19.05
2012-09-01,19.06
2012-10-01,19.09
2012-11-01,19.13
2012-12-01,19.13
2013-01-01,19.16
2013-02-01,19.21
2013-03-01,19.21
2013-04-01,19.23
2013-05-01,19.24
2013-06-01,19.27
2013-07-01,19.26
2013-08-01,19.31
2013-09-01,19.33
2013-10-01,19.35
2013-11-01,19.40
2013-12-01,19.46
2014-01-01,19.46
2014-02-01,19.49
2014-03-01,19.53
2014-04-01,19.48
2014-05-01,19.51
2014-06-01,19.54
2014-07-01,19.59
2014-08-01,19.60
2014-09-01,19.59
2014-10-01,19.65
2014-11-01,19.65
2014-12-01,19.63
2015-01-01,19.65
2015-02-01,19.73
2015-03-01,19.77
2015-04-01,19.80
2015-05-01,19.86
2015-06-01,19.89
2015-07-01,19.95
2015-08-01,19.99
2015-09-01,20.07
2015-10-01,20.06
2015-11-01,20.06
2015-12-01,20.12
2016-01-01,20.16
2016-02-01,20.20
2016-03-01,20.27
2016-04-01,20.39
2016-05-01,20.41
2016-06-01,20.48
2016-07-01,20.49
2016-08-01,20.56
2016-09-01,20.54
2016-10-01,20.58
2016-11-01,20.61
2016-12-01,20.62
2017-01-01,20.61
2017-02-01,20.64
2017-03-01,20.69
2017-04-01,20.76
2017-05-01,20.81
2017-06-01,20.85
2017-07-01,20.92
2017-08-01,20.95
2017-09-01,21.00
2017-10-01,21.07
2017-11-01,21.12
2017-12-01,21.23
2018-01-01,21.29
2018-02-01,21.34
2018-03-01,21.39
2018-04-01,21.46
2018-05-01,21.43
2018-06-01,21.48
2018-07-01,21.46
2018-08-01,21.55
2018-09-01,21.62
2018-10-01,21.69
2018-11-01,21.78
2018-12-01,21.85
2019-01-01,21.81
