"Index","earning_a","earning_u","gnp_a","pricedef_a","unemp_a","earningdefl_a"
"1939-01-01",0.49,0.49,NA,NA,NA,NA
"1939-04-01",0.49,0.49,NA,NA,NA,NA
"1939-07-01",0.486666666666667,0.486666666666667,NA,NA,NA,NA
"1939-10-01",0.493333333333333,0.49,NA,NA,NA,NA
"1940-01-01",0.516666666666667,0.516666666666667,NA,NA,NA,NA
"1940-04-01",0.52,0.52,NA,NA,NA,NA
"1940-07-01",0.52,0.523333333333333,NA,NA,NA,NA
"1940-10-01",0.533333333333333,0.53,NA,NA,NA,NA
"1941-01-01",0.546666666666667,0.55,NA,NA,NA,NA
"1941-04-01",0.566666666666667,0.566666666666667,NA,NA,NA,NA
"1941-07-01",0.606666666666667,0.606666666666667,NA,NA,NA,NA
"1941-10-01",0.63,0.623333333333333,NA,NA,NA,NA
"1942-01-01",0.663333333333333,0.663333333333333,NA,NA,NA,NA
"1942-04-01",0.69,0.696666666666667,NA,NA,NA,NA
"1942-07-01",0.733333333333333,0.73,NA,NA,NA,NA
"1942-10-01",0.776666666666667,0.773333333333333,NA,NA,NA,NA
"1943-01-01",0.8,0.8,NA,NA,NA,NA
"1943-04-01",0.83,0.83,NA,NA,NA,NA
"1943-07-01",0.853333333333333,0.853333333333333,NA,NA,NA,NA
"1943-10-01",0.88,0.876666666666667,NA,NA,NA,NA
"1944-01-01",0.893333333333333,0.893333333333333,NA,NA,NA,NA
"1944-04-01",0.903333333333333,0.903333333333333,NA,NA,NA,NA
"1944-07-01",0.91,0.91,NA,NA,NA,NA
"1944-10-01",0.916666666666667,0.916666666666667,NA,NA,NA,NA
"1945-01-01",0.926666666666667,0.926666666666667,NA,NA,NA,NA
"1945-04-01",0.93,0.93,NA,NA,NA,NA
"1945-07-01",0.92,0.92,NA,NA,NA,NA
"1945-10-01",0.866666666666667,0.866666666666667,NA,NA,NA,NA
"1946-01-01",0.853333333333333,0.853333333333333,NA,NA,NA,NA
"1946-04-01",0.886666666666667,0.886666666666667,NA,NA,NA,NA
"1946-07-01",0.943333333333333,0.946666666666667,NA,NA,NA,NA
"1946-10-01",0.99,0.993333333333333,NA,NA,NA,NA
"1947-01-01",1.02333333333333,1.02,2046.02,11.933,NA,8.57565853794799
"1947-04-01",1.05333333333333,1.05333333333333,2041.114,12.104,NA,8.70235734743336
"1947-07-01",1.09333333333333,1.09333333333333,2036.864,12.309,NA,8.88238957944052
"1947-10-01",1.11666666666667,1.12,2069.176,12.613,NA,8.85329950580089
"1948-01-01",1.15333333333333,1.15333333333333,2101.218,12.713,3,9.0720784498807
"1948-04-01",1.16333333333333,1.16333333333333,2136.364,12.828,3.43333333333333,9.06870387693587
"1948-07-01",1.19333333333333,1.19333333333333,2148.601,13.063,3.2,9.13521651483835
"1948-10-01",1.24,1.23333333333333,2150.979,13.103,3.4,9.46348164542471
"1949-01-01",1.26,1.25666666666667,2120.94,13.033,3.6,9.66776643903936
"1949-04-01",1.25666666666667,1.26,2113.381,12.903,4.43333333333333,9.739337105066
"1949-07-01",1.25666666666667,1.25666666666667,2134.701,12.843,5.76666666666667,9.7848373952088
"1949-10-01",1.24666666666667,1.24,2115.784,12.844,6.5,9.7062182082425
"1950-01-01",1.25333333333333,1.25666666666667,2199.226,12.825,5.9,9.772579597141
"1950-04-01",1.27666666666667,1.28,2266.641,12.869,5.56666666666667,9.92048074183438
"1950-07-01",1.30333333333333,1.30666666666667,2356.006,13.148,4.83333333333333,9.91278774972112
"1950-10-01",1.34,1.33666666666667,2400.8,13.394,3.9,10.0044796177393
"1951-01-01",1.38666666666667,1.39,2432.613,13.875,3.66666666666667,9.993993993994
"1951-04-01",1.42,1.42666666666667,2476.905,13.968,2.96666666666667,10.1660939289805
"1951-07-01",1.44666666666667,1.44666666666667,2528.301,13.977,2.76666666666667,10.3503374591591
"1951-10-01",1.46333333333333,1.46,2534.773,14.137,3,10.3510881610903
"1952-01-01",1.48666666666667,1.49333333333333,2560.685,14.13,2.86666666666667,10.5213493748526
"1952-04-01",1.50333333333333,1.51333333333333,2566.259,14.147,2.66666666666667,10.6265168115737
"1952-07-01",1.50666666666667,1.51,2584.373,14.305,2.66666666666667,10.5324478620529
"1952-10-01",1.54666666666667,1.54333333333333,2668.419,14.344,2.76666666666667,10.7826733593605
